priorityRank,currentPlaceKey,currentPlaceNameZh,currentPlaceNameEn,affectedStationCount,sampleTelecodes,sampleStationNamesZh,matchStatus,recommendedAction,overrideReady,candidateSummary,candidateGeonameIds,candidateNames,candidateNameZh,candidateAdminCodes,candidateLatitude,candidateLongitude,existingPlaceCatalogMatches,riskLevel,suggestedReviewDecision,suggestedReviewedPlaceKey,evidenceSummary,reviewerDecision,reviewerNotes
1,cn-hengdaohezi,横道河子,Hengdaohezi,2,HDB | KUX,横道河子 | 横道河子东,no_candidate,needs_human_review,no,No local GeoNames CN candidate,,,,,,,,high,needs_external_evidence,,"User-reported route case. No exact Chinese or safe English/slug GeoNames candidate was found in local China cities1000 plus filtered alternate names, so this group should stay unresolved until external evidence is reviewed.",,
2,cn-qianan,迁安,Qianan,1,QQP,迁安,unique_zh_exact_key_conflict,needs_human_review,no,Qian’an / 迁安 key conflict,2035411,Qian’an,迁安,10/1302,40.00563,118.69729,cn-qian-an,high,needs_external_evidence,,"Exactly one Chinese-name GeoNames candidate exists, but its derived placeKey collides with an existing different Place Catalog entry. This needs human review before any override can target a reviewed canonical key.",,
3,cn-baodi,宝坻,Baodi,3,BZI | BPP | BOI,宝坻 | 宝坻北 | 宝坻南,no_candidate,needs_human_review,no,No local GeoNames CN candidate,,,,,,,,high,keep_unresolved,,No exact Chinese or safe English/slug GeoNames candidate was found from the local China cities1000 dataset.,,
4,cn-huairou,怀柔,Huairou,3,HRP | HBP | IMP,怀柔 | 怀柔北 | 怀柔南,no_candidate,needs_human_review,no,No local GeoNames CN candidate,,,,,,,,high,keep_unresolved,,No exact Chinese or safe English/slug GeoNames candidate was found from the local China cities1000 dataset.,,
5,cn-jingyuan,靖远,Jingyuan,3,JYJ | JOJ | JXJ,靖远 | 靖远北 | 靖远西,ambiguous_multi_candidate,needs_human_review,no,Wulan / Xiangshui,1805549 | 1805550,Wulan | Xiangshui,乌兰 | 香水,15/6204 | 21/6404,36.56541 | 35.47695,104.68401 | 106.33112,cn-xiangshui,high,needs_external_evidence,,Multiple English/ascii/slug-based candidates exist and no exact Chinese candidate was found.,,
6,cn-shenmu,神木,Shenmu,3,HMY | OMY | OUY,神木 | 神木南 | 神木西,no_candidate,needs_human_review,no,No local GeoNames CN candidate,,,,,,,,high,keep_unresolved,,No exact Chinese or safe English/slug GeoNames candidate was found from the local China cities1000 dataset.,,
7,cn-taigu,太谷,Taigu,3,TGV | TEV | TIV,太谷 | 太谷东 | 太谷西,unique_en_or_slug_only,do_not_auto_resolve,no,Mingxing / 明星,1793691,Mingxing,明星,24/1407,37.42639,112.54417,,high,reject_auto_mapping,,"Only one English/ascii/slug-based candidate exists, but no exact Chinese candidate was found.",,
8,cn-yabuli,亚布力,Yabuli,3,YBB | YWB | YSB,亚布力 | 亚布力南 | 亚布力西,no_candidate,needs_human_review,no,No local GeoNames CN candidate,,,,,,,,high,keep_unresolved,,No exact Chinese or safe English/slug GeoNames candidate was found from the local China cities1000 dataset.,,
9,cn-zhongning,中宁,Zhongning,3,VNJ | ZDJ | ZNJ,中宁 | 中宁东 | 中宁南,unique_en_or_slug_only,do_not_auto_resolve,no,Ning’an / 宁安,1784344,Ning’an,宁安,21/6405,37.49753,105.6765,,high,reject_auto_mapping,,"Only one English/ascii/slug-based candidate exists, but no exact Chinese candidate was found.",,
10,cn-aershan,阿尔山,Aershan,2,ART | ARX,阿尔山 | 阿尔山北,no_candidate,needs_human_review,no,No local GeoNames CN candidate,,,,,,,,high,keep_unresolved,,No exact Chinese or safe English/slug GeoNames candidate was found from the local China cities1000 dataset.,,
11,cn-funing,阜宁,Funing,2,FDU | FNU,阜宁东 | 阜宁南,ambiguous_multi_candidate,needs_human_review,no,Xinhua / Songcheng / Funing,1788875 | 1794060 | 1810953,Xinhua | Songcheng | Funing,新华 | 松城 | 抚宁,29/5326 | 07/3509 | 10/1303,23.6431 | 26.88194 | 39.88405,105.65317 | 120.00111 | 119.2361,cn-xinhua | cn-songcheng,high,needs_external_evidence,,Multiple English/ascii/slug-based candidates exist and no exact Chinese candidate was found.,,
12,cn-heping,和平,Heping,2,VAQ | HPA,和平 | 和平北,ambiguous_multi_candidate,needs_human_review,no,Heping / Heping / Heping / Xiaobailou,1808346 | 1808356 | 8054117 | 8413242,Heping | Heping | Heping | Xiaobailou,和平 | 和平 | 乌兰浩特 | 小白楼,18/5206 | 30/4403 | 20/1522 | 28/12324202,28.5579 | 22.69419 | 46.08626 | 39.11766,108.49 | 113.79144 | 122.07708 | 117.20565,,high,needs_external_evidence,,Multiple Chinese-name GeoNames candidates exist for this unresolved rail place group.,,
13,cn-jian,吉安,Jian,2,VAG | JIG,吉安 | 吉安西,ambiguous_multi_candidate,needs_human_review,no,Ji’an / Ji’an,1806445 | 1904188,Ji’an | Ji’an,吉安 | 吉安,03/3608 | 33/8739734,27.11716 | 29.15897,114.97927 | 105.74703,cn-ji-an | cn-ji-an,high,needs_external_evidence,,Multiple Chinese-name GeoNames candidates exist for this unresolved rail place group.,,
14,cn-qidong,祁东,Qidong,2,QMQ | QRQ,祁东 | 祁东北,ambiguous_multi_candidate,needs_human_review,no,Hongqiao / Huilong,1798082 | 1806840,Hongqiao | Huilong,洪桥 | 启动,11/4304 | 04/3206,26.76837 | 31.81111,112.10814 | 121.655,cn-hongqiao | cn-huilong,high,needs_external_evidence,,Multiple English/ascii/slug-based candidates exist and no exact Chinese candidate was found.,,
15,cn-tianmen,天门,Tianmen,2,TMN | TNN,天门 | 天门南,ambiguous_multi_candidate,needs_human_review,no,Jingling / Tianmen,1805618 | 8643370,Jingling | Tianmen,,12/12324193 | 12/12324193,30.65 | 30.65888,113.1 | 113.15369,cn-jingling,high,needs_external_evidence,,Multiple English/ascii/slug-based candidates exist and no exact Chinese candidate was found.,,
16,cn-yongan,永安,Yongan,2,YAS | YQS,永安 | 永安南,ambiguous_multi_candidate,needs_human_review,no,Yong’an / Yong’an / Yong’an / Yong’an,1786395 | 1786401 | 1806687 | 1811120 | 8405694,Yong’an | Yong’an | Yong’an | Yong’an | Yong’an,永安 | 永安 | 永安 | 永安 | 永安,33/8739734 | 07/3504 | 24/1402 | 24/1410 | 33/8739734,31.01894 | 25.96367 | 39.69571 | 36.65762 | 30.3531,109.45949 | 117.36025 | 113.68708 | 111.56643 | 107.51289,cn-yong-an | cn-yong-an | cn-yong-an | cn-yong-an | cn-yong-an,high,needs_external_evidence,,Multiple Chinese-name GeoNames candidates exist for this unresolved rail place group.,,
17,cn-xingan,兴安,Xingan,2,XAZ | XDZ,兴安 | 兴安北,ambiguous_multi_candidate,needs_human_review,no,Xing’an / Xing’an,1789066 | 8523193,Xing’an | Xing’an,兴安 | 兴安,16/4503 | 08/2304,25.61405 | 47.25069,110.66854 | 130.23159,,high,needs_external_evidence,,Multiple Chinese-name GeoNames candidates exist for this unresolved rail place group.,,
18,cn-yushe,榆社,Yushe,2,YSV | AXV,榆社 | 榆社西,unique_en_or_slug_only,do_not_auto_resolve,no,Jicheng / 箕城,1785614,Jicheng,箕城,24/1407,37.06359,112.95769,,high,reject_auto_mapping,,"Only one English/ascii/slug-based candidate exists, but no exact Chinese candidate was found.",,
19,cn-ebian,峨边,Ebian,2,EBW | ENE,峨边 | 峨边南,unique_en_or_slug_only,do_not_auto_resolve,no,Shaping / 沙坪,1795838,Shaping,沙坪,32/5111,29.23082,103.26587,cn-shaping,high,reject_auto_mapping,,"Only one English/ascii/slug-based candidate exists, but no exact Chinese candidate was found.",,
20,cn-ganluo,甘洛,Ganluo,2,VOW | GNE,甘洛 | 甘洛南,unique_en_or_slug_only,do_not_auto_resolve,no,Xinshiba / 新市坝,1788630,Xinshiba,新市坝,32/5134,28.97091,102.77126,,high,reject_auto_mapping,,"Only one English/ascii/slug-based candidate exists, but no exact Chinese candidate was found.",,
21,cn-binhai,滨海,Binhai,2,FCP | FHP,滨海北 | 滨海西,unique_en_or_slug_only,do_not_auto_resolve,no,Dongkan,1812427,Dongkan,,04/3209,33.99972,119.83083,cn-dongkan,high,reject_auto_mapping,,"Only one English/ascii/slug-based candidate exists, but no exact Chinese candidate was found.",,
22,cn-dangshan,砀山,Dangshan,2,DKH | PRH,砀山 | 砀山南,unique_en_or_slug_only,do_not_auto_resolve,no,Dangcheng / 砀城,1813855,Dangcheng,砀城,01/3413,34.42787,116.37657,,high,reject_auto_mapping,,"Only one English/ascii/slug-based candidate exists, but no exact Chinese candidate was found.",,
23,cn-dechang,德昌,Dechang,2,DVW | DXE,德昌 | 德昌西,unique_en_or_slug_only,do_not_auto_resolve,no,Dezhou / 德州,1812956,Dezhou,德州,32/5134,27.40809,102.18001,cn-dezhou,high,reject_auto_mapping,,"Only one English/ascii/slug-based candidate exists, but no exact Chinese candidate was found.",,
24,cn-feixian,费县,Feixian,2,FXK | FBK,费县 | 费县北,unique_en_or_slug_only,do_not_auto_resolve,no,Feicheng,1811440,Feicheng,,25/3713,35.26056,117.9675,cn-feicheng,high,reject_auto_mapping,,"Only one English/ascii/slug-based candidate exists, but no exact Chinese candidate was found.",,
25,cn-hanshou,汉寿,Hanshou,2,HHA | VSQ,汉寿 | 汉寿南,unique_en_or_slug_only,do_not_auto_resolve,no,Hanshou / 龙阳,1808887,Hanshou,龙阳,11/4307,28.90813,111.96319,,high,reject_auto_mapping,,"Only one English/ascii/slug-based candidate exists, but no exact Chinese candidate was found.",,
26,cn-houma,侯马,Houma,2,HMV | HPV,侯马 | 侯马西,unique_en_or_slug_only,do_not_auto_resolve,no,Xintian / 侯马市,1807818,Xintian,侯马市,24/1410,35.61358,111.3566,cn-xintian,high,reject_auto_mapping,,"Only one English/ascii/slug-based candidate exists, but no exact Chinese candidate was found.",,
